date,keyword,value,region,disease
2024-01-02,dengue slp,36.54,SLP,dengue
2024-01-02,mosquito,26.64,MX,dengue
2024-01-02,mosquito,30.87,SLP,dengue
2024-01-03,tos,42.46,MX,hantavirus
2024-01-03,tos,43.83,SLP,hantavirus
2024-01-03,fiebre,56.14,MX,hantavirus
2024-01-03,fiebre,50.6,SLP,hantavirus
2024-01-03,dolor muscular,39.17,MX,hantavirus
2024-01-03,dolor muscular,45.06,SLP,hantavirus
2024-01-03,dificultad para respirar,38.37,MX,hantavirus
2024-01-03,dificultad para respirar,29.71,SLP,hantavirus
2024-01-03,sangrado,27.77,MX,hantavirus
2024-01-03,sangrado,27.15,SLP,hantavirus
2024-01-03,raton de campo,41.53,MX,hantavirus
2024-01-03,raton de campo,41.57,SLP,hantavirus
2024-01-03,hantavirus sintomas,53.0,MX,hantavirus
2024-01-03,hantavirus sintomas,51.11,SLP,hantavirus
2024-01-03,covid tos,82.48,MX,covid
2024-01-03,covid tos,73.71,SLP,covid
2024-01-03,covid fiebre,80.27,MX,covid
2024-01-03,covid fiebre,80.36,SLP,covid
2024-01-03,perdida de olfato,79.64,MX,covid
2024-01-03,perdida de olfato,66.38,SLP,covid
2024-01-03,covid mexico,59.15,MX,covid
2024-01-03,covid mexico,57.75,SLP,covid
2024-01-03,covid slp,52.06,MX,covid
2024-01-03,covid slp,69.23,SLP,covid
2024-01-03,dengue fiebre,42.8,MX,dengue
2024-01-03,dengue fiebre,52.33,SLP,dengue
2024-01-03,dolor de huesos,45.29,MX,dengue
2024-01-03,dolor de huesos,56.9,SLP,dengue
2024-01-03,sarpullido,41.52,MX,dengue
2024-01-03,sarpullido,43.5,SLP,dengue
2024-01-03,dengue slp,35.91,MX,dengue
2024-01-03,dengue slp,24.2,SLP,dengue
2024-01-03,mosquito,28.57,MX,dengue
2024-01-03,mosquito,37.04,SLP,dengue
2024-01-04,tos,44.55,MX,hantavirus
2024-01-04,tos,50.47,SLP,hantavirus
2024-01-04,fiebre,50.77,MX,hantavirus
2024-01-04,fiebre,50.68,SLP,hantavirus
2024-01-04,dolor muscular,39.86,MX,hantavirus
2024-01-04,dolor muscular,41.01,SLP,hantavirus
2024-01-04,dificultad para respirar,36.1,MX,hantavirus
2024-01-04,dificultad para respirar,24.57,SLP,hantavirus
2024-01-04,sangrado,30.12,MX,hantavirus
2024-01-04,sangrado,30.44,SLP,hantavirus
2024-01-04,raton de campo,40.55,MX,hantavirus
2024-01-04,raton de campo,30.04,SLP,hantavirus
2024-01-04,hantavirus sintomas,53.63,MX,hantavirus
2024-01-04,hantavirus sintomas,47.22,SLP,hantavirus
2024-01-04,covid tos,85.41,MX,covid
2024-01-04,covid tos,83.04,SLP,covid
2024-01-04,covid fiebre,79.39,MX,covid
2024-01-04,covid fiebre,75.86,SLP,covid
2024-01-04,perdida de olfato,74.9,MX,covid
2024-01-04,perdida de olfato,73.38,SLP,covid
2024-01-04,covid mexico,66.91,MX,covid
2024-01-04,covid mexico,65.61,SLP,covid
2024-01-04,covid slp,65.66,MX,covid
2024-01-04,covid slp,57.73,SLP,covid
2024-01-04,dengue fiebre,45.47,MX,dengue
2024-01-04,dengue fiebre,51.85,SLP,dengue
2024-01-04,dolor de huesos,45.81,MX,dengue
2024-01-04,dolor de huesos,53.73,SLP,dengue
2024-01-04,sarpullido,44.21,MX,dengue
2024-01-04,sarpullido,39.57,SLP,dengue
2024-01-04,dengue slp,39.21,MX,dengue
2024-01-04,dengue slp,33.03,SLP,dengue
2024-01-04,mosquito,34.56,MX,dengue
2024-01-04,mosquito,27.24,SLP,dengue
2024-01-05,tos,42.14,MX,hantavirus
2024-01-05,tos,49.63,SLP,hantavirus
2024-01-05,fiebre,51.93,MX,hantavirus
2024-01-05,fiebre,50.83,SLP,hantavirus
2024-01-05,dolor muscular,40.15,MX,hantavirus
2024-01-05,dolor muscular,40.43,SLP,hantavirus
2024-01-05,dificultad para respirar,32.32,MX,hantavirus
2024-01-05,dificultad para respirar,31.36,SLP,hantavirus
2024-01-05,sangrado,34.89,MX,hantavirus
2024-01-05,sangrado,41.13,SLP,hantavirus
2024-01-05,raton de campo,34.08,MX,hantavirus
2024-01-05,raton de campo,30.02,SLP,hantavirus
2024-01-05,hantavirus sintomas,45.79,MX,hantavirus
2024-01-05,hantavirus sintomas,59.13,SLP,hantavirus
2024-01-05,covid tos,79.83,MX,covid
2024-01-05,covid tos,74.45,SLP,covid
2024-01-05,covid fiebre,81.79,MX,covid
2024-01-05,covid fiebre,72.68,SLP,covid
2024-01-05,perdida de olfato,66.58,MX,covid
2024-01-05,perdida de olfato,73.5,SLP,covid
2024-01-05,covid mexico,58.99,MX,covid
2024-01-05,covid mexico,62.12,SLP,covid
2024-01-05,covid slp,57.59,MX,covid
2024-01-05,covid slp,58.36,SLP,covid
2024-01-05,dengue fiebre,52.61,MX,dengue
2024-01-05,dengue fiebre,48.78,SLP,dengue
2024-01-05,dolor de huesos,47.53,MX,dengue
2024-01-05,dolor de huesos,44.1,SLP,dengue
2024-01-05,sarpullido,34.14,MX,dengue
2024-01-05,sarpullido,33.09,SLP,dengue
2024-01-05,dengue slp,36.74,MX,dengue
2024-01-05,dengue slp,34.58,SLP,dengue
2024-01-05,mosquito,29.41,MX,dengue
2024-01-05,mosquito,30.17,SLP,dengue
2024-01-06,tos,48.87,MX,hantavirus
2024-01-06,tos,39.32,SLP,hantavirus
2024-01-06,fiebre,50.46,MX,hantavirus
2024-01-06,fiebre,48.1,SLP,hantavirus
2024-01-06,dolor muscular,38.83,MX,hantavirus
2024-01-06,dolor muscular,33.19,SLP,hantavirus
2024-01-06,dificultad para respirar,34.75,MX,hantavirus
2024-01-06,dificultad para respirar,29.52,SLP,hantavirus
2024-01-06,sangrado,24.31,MX,hantavirus
2024-01-06,sangrado,15.8,SLP,hantavirus
2024-01-06,raton de campo,36.82,MX,hantavirus
2024-01-06,raton de campo,45.82,SLP,hantavirus
2024-01-06,hantavirus sintomas,54.63,MX,hantavirus
2024-01-06,hantavirus sintomas,44.03,SLP,hantavirus
2024-01-06,covid tos,75.68,MX,covid
2024-01-06,covid tos,75.84,SLP,covid
2024-01-06,covid fiebre,80.58,MX,covid
2024-01-06,covid fiebre,82.9,SLP,covid
2024-01-06,perdida de olfato,70.41,MX,covid
2024-01-06,perdida de olfato,65.6,SLP,covid
2024-01-06,covid mexico,58.75,MX,covid
2024-01-06,covid mexico,63.45,SLP,covid
2024-01-06,covid slp,61.37,MX,covid
2024-01-06,covid slp,61.62,SLP,covid
2024-01-06,dengue fiebre,54.7,MX,dengue
2024-01-06,dengue fiebre,52.33,SLP,dengue
2024-01-06,dolor de huesos,51.45,MX,dengue
2024-01-06,dolor de huesos,55.51,SLP,dengue
2024-01-06,sarpullido,29.31,MX,dengue
2024-01-06,sarpullido,46.21,SLP,dengue
2024-01-06,dengue slp,30.58,MX,dengue
2024-01-06,dengue slp,24.69,SLP,dengue
2024-01-06,mosquito,34.38,MX,dengue
2024-01-06,mosquito,38.69,SLP,dengue
2024-01-07,tos,57.45,MX,hantavirus
2024-01-07,tos,44.52,SLP,hantavirus
2024-01-07,fiebre,44.21,MX,hantavirus
2024-01-07,fiebre,43.46,SLP,hantavirus
2024-01-07,dolor muscular,39.92,MX,hantavirus
2024-01-07,dolor muscular,48.41,SLP,hantavirus
2024-01-07,dificultad para respirar,34.91,MX,hantavirus
2024-01-07,dificultad para respirar,34.71,SLP,hantavirus
2024-01-07,sangrado,21.15,MX,hantavirus
2024-01-07,sangrado,26.78,SLP,hantavirus
2024-01-07,raton de campo,27.86,MX,hantavirus
2024-01-07,raton de campo,42.9,SLP,hantavirus
2024-01-07,hantavirus sintomas,54.33,MX,hantavirus
2024-01-07,hantavirus sintomas,50.3,SLP,hantavirus
2024-01-07,covid tos,77.44,MX,covid
2024-01-07,covid tos,84.08,SLP,covid
2024-01-07,covid fiebre,82.06,MX,covid
2024-01-07,covid fiebre,64.39,SLP,covid
2024-01-07,perdida de olfato,74.69,MX,covid
2024-01-07,perdida de olfato,72.38,SLP,covid
2024-01-07,covid mexico,62.34,MX,covid
2024-01-07,covid mexico,60.49,SLP,covid
2024-01-07,covid slp,66.03,MX,covid
2024-01-07,covid slp,65.15,SLP,covid
2024-01-07,dengue fiebre,50.84,MX,dengue
2024-01-07,dengue fiebre,48.4,SLP,dengue
2024-01-07,dolor de huesos,48.32,MX,dengue
2024-01-07,dolor de huesos,51.21,SLP,dengue
2024-01-07,sarpullido,44.86,MX,dengue
2024-01-07,sarpullido,42.2,SLP,dengue
2024-01-07,dengue slp,19.68,MX,dengue
2024-01-07,dengue slp,33.93,SLP,dengue
2024-01-07,mosquito,24.62,MX,dengue
2024-01-07,mosquito,30.78,SLP,dengue
2024-01-08,tos,40.3,MX,hantavirus
2024-01-08,tos,49.26,SLP,hantavirus
2024-01-08,fiebre,59.14,MX,hantavirus
2024-01-08,fiebre,49.05,SLP,hantavirus
2024-01-08,dolor muscular,40.39,MX,hantavirus
2024-01-08,dolor muscular,39.55,SLP,hantavirus
2024-01-08,dificultad para respirar,31.46,MX,hantavirus
2024-01-08,dificultad para respirar,39.22,SLP,hantavirus
2024-01-08,sangrado,19.28,MX,hantavirus
2024-01-08,sangrado,38.0,SLP,hantavirus
2024-01-08,raton de campo,30.01,MX,hantavirus
2024-01-08,raton de campo,35.8,SLP,hantavirus
2024-01-08,hantavirus sintomas,44.35,MX,hantavirus
2024-01-08,hantavirus sintomas,49.44,SLP,hantavirus
2024-01-08,covid tos,74.76,MX,covid
2024-01-08,covid tos,73.3,SLP,covid
2024-01-08,covid fiebre,73.94,MX,covid
2024-01-08,covid fiebre,75.35,SLP,covid
2024-01-08,perdida de olfato,77.5,MX,covid
2024-01-08,perdida de olfato,75.51,SLP,covid
2024-01-08,covid mexico,61.17,MX,covid
2024-01-08,covid mexico,68.1,SLP,covid
2024-01-08,covid slp,55.1,MX,covid
2024-01-08,covid slp,54.42,SLP,covid
2024-01-08,dengue fiebre,41.09,MX,dengue
2024-01-08,dengue fiebre,49.19,SLP,dengue
2024-01-08,dolor de huesos,55.25,MX,dengue
2024-01-08,dolor de huesos,44.08,SLP,dengue
2024-01-08,sarpullido,43.26,MX,dengue
2024-01-08,sarpullido,44.8,SLP,dengue
2024-01-08,dengue slp,33.43,MX,dengue
2024-01-08,dengue slp,34.77,SLP,dengue
2024-01-08,mosquito,32.81,MX,dengue
2024-01-08,mosquito,27.76,SLP,dengue
2024-01-09,tos,43.39,MX,hantavirus
2024-01-09,tos,42.85,SLP,hantavirus
2024-01-09,fiebre,49.61,MX,hantavirus
2024-01-09,fiebre,40.81,SLP,hantavirus
2024-01-09,dolor muscular,30.7,MX,hantavirus
2024-01-09,dolor muscular,44.09,SLP,hantavirus
2024-01-09,dificultad para respirar,37.69,MX,hantavirus
2024-01-09,dificultad para respirar,30.11,SLP,hantavirus
2024-01-09,sangrado,27.09,MX,hantavirus
2024-01-09,sangrado,35.45,SLP,hantavirus
2024-01-09,raton de campo,31.49,MX,hantavirus
2024-01-09,raton de campo,30.4,SLP,hantavirus
2024-01-09,hantavirus sintomas,50.12,MX,hantavirus
2024-01-09,hantavirus sintomas,46.63,SLP,hantavirus
2024-01-09,covid tos,69.03,MX,covid
2024-01-09,covid tos,81.51,SLP,covid
2024-01-09,covid fiebre,75.92,MX,covid
2024-01-09,covid fiebre,73.14,SLP,covid
2024-01-09,perdida de olfato,68.29,MX,covid
2024-01-09,perdida de olfato,70.49,SLP,covid
2024-01-09,covid mexico,59.41,MX,covid
2024-01-09,covid mexico,51.4,SLP,covid
2024-01-09,covid slp,64.9,MX,covid
2024-01-09,covid slp,66.79,SLP,covid
2024-01-09,dengue fiebre,53.35,MX,dengue
2024-01-09,dengue fiebre,50.62,SLP,dengue
2024-01-09,dolor de huesos,49.47,MX,dengue
2024-01-09,dolor de huesos,53.31,SLP,dengue
2024-01-09,sarpullido,35.47,MX,dengue
2024-01-09,sarpullido,43.53,SLP,dengue
2024-01-09,dengue slp,39.44,MX,dengue
2024-01-09,dengue slp,36.59,SLP,dengue
2024-01-09,mosquito,35.28,MX,dengue
2024-01-09,mosquito,39.81,SLP,dengue
2024-01-10,tos,39.09,MX,hantavirus
2024-01-10,tos,46.55,SLP,hantavirus
2024-01-10,fiebre,43.27,MX,hantavirus
2024-01-10,fiebre,37.59,SLP,hantavirus
2024-01-10,dolor muscular,44.23,MX,hantavirus
2024-01-10,dolor muscular,49.73,SLP,hantavirus
2024-01-10,dificultad para respirar,38.19,MX,hantavirus
2024-01-10,dificultad para respirar,35.95,SLP,hantavirus
2024-01-10,sangrado,28.45,MX,hantavirus
2024-01-10,sangrado,34.55,SLP,hantavirus
2024-01-10,raton de campo,43.43,MX,hantavirus
2024-01-10,raton de campo,38.0,SLP,hantavirus
2024-01-10,hantavirus sintomas,40.76,MX,hantavirus
2024-01-10,hantavirus sintomas,44.18,SLP,hantavirus
2024-01-10,covid tos,80.04,MX,covid
2024-01-10,covid tos,76.18,SLP,covid
2024-01-10,covid fiebre,82.86,MX,covid
2024-01-10,covid fiebre,73.5,SLP,covid
2024-01-10,perdida de olfato,75.13,MX,covid
2024-01-10,perdida de olfato,71.98,SLP,covid
2024-01-10,covid mexico,59.23,MX,covid
2024-01-10,covid mexico,61.6,SLP,covid
2024-01-10,covid slp,68.08,MX,covid
2024-01-10,covid slp,61.1,SLP,covid
2024-01-10,dengue fiebre,42.75,MX,dengue
2024-01-10,dengue fiebre,53.09,SLP,dengue
2024-01-10,dolor de huesos,41.18,MX,dengue
2024-01-10,dolor de huesos,55.65,SLP,dengue
2024-01-10,sarpullido,44.97,MX,dengue
2024-01-10,sarpullido,44.99,SLP,dengue
2024-01-10,dengue slp,23.02,MX,dengue
2024-01-10,dengue slp,32.2,SLP,dengue
2024-01-10,mosquito,37.59,MX,dengue
2024-01-10,mosquito,29.23,SLP,dengue
2024-01-11,tos,47.11,MX,hantavirus
2024-01-11,tos,42.57,SLP,hantavirus
2024-01-11,fiebre,51.24,MX,hantavirus
2024-01-11,fiebre,50.55,SLP,hantavirus
2024-01-11,dolor muscular,40.64,MX,hantavirus
2024-01-11,dolor muscular,37.83,SLP,hantavirus
2024-01-11,dificultad para respirar,37.88,MX,hantavirus
2024-01-11,dificultad para respirar,40.91,SLP,hantavirus
2024-01-11,sangrado,28.2,MX,hantavirus
2024-01-11,sangrado,27.55,SLP,hantavirus
2024-01-11,raton de campo,39.86,MX,hantavirus
2024-01-11,raton de campo,35.62,SLP,hantavirus
2024-01-11,hantavirus sintomas,46.08,MX,hantavirus
2024-01-11,hantavirus sintomas,50.47,SLP,hantavirus
2024-01-11,covid tos,82.92,MX,covid
2024-01-11,covid tos,86.86,SLP,covid
2024-01-11,covid fiebre,87.21,MX,covid
2024-01-11,covid fiebre,83.68,SLP,covid
2024-01-11,perdida de olfato,62.81,MX,covid
2024-01-11,perdida de olfato,80.55,SLP,covid
2024-01-11,covid mexico,67.02,MX,covid
2024-01-11,covid mexico,58.6,SLP,covid
2024-01-11,covid slp,64.06,MX,covid
2024-01-11,covid slp,55.22,SLP,covid
2024-01-11,dengue fiebre,60.26,MX,dengue
2024-01-11,dengue fiebre,44.75,SLP,dengue
2024-01-11,dolor de huesos,48.7,MX,dengue
2024-01-11,dolor de huesos,52.59,SLP,dengue
2024-01-11,sarpullido,42.56,MX,dengue
2024-01-11,sarpullido,37.91,SLP,dengue
2024-01-11,dengue slp,39.45,MX,dengue
2024-01-11,dengue slp,45.45,SLP,dengue
2024-01-11,mosquito,32.8,MX,dengue
2024-01-11,mosquito,27.3,SLP,dengue
2024-01-12,tos,47.84,MX,hantavirus
2024-01-12,tos,43.36,SLP,hantavirus
2024-01-12,fiebre,43.07,MX,hantavirus
2024-01-12,fiebre,57.04,SLP,hantavirus
2024-01-12,dolor muscular,42.37,MX,hantavirus
2024-01-12,dolor muscular,38.76,SLP,hantavirus
2024-01-12,dificultad para respirar,31.56,MX,hantavirus
2024-01-12,dificultad para respirar,36.77,SLP,hantavirus
2024-01-12,sangrado,29.24,MX,hantavirus
2024-01-12,sangrado,23.46,SLP,hantavirus
2024-01-12,raton de campo,39.13,MX,hantavirus
2024-01-12,raton de campo,43.55,SLP,hantavirus
2024-01-12,hantavirus sintomas,52.58,MX,hantavirus
2024-01-12,hantavirus sintomas,44.07,SLP,hantavirus
2024-01-12,covid tos,79.21,MX,covid
2024-01-12,covid tos,76.58,SLP,covid
2024-01-12,covid fiebre,77.84,MX,covid
2024-01-12,covid fiebre,73.74,SLP,covid
2024-01-12,perdida de olfato,60.36,MX,covid
2024-01-12,perdida de olfato,76.93,SLP,covid
2024-01-12,covid mexico,63.22,MX,covid
2024-01-12,covid mexico,62.46,SLP,covid
2024-01-12,covid slp,62.4,MX,covid
2024-01-12,covid slp,56.27,SLP,covid
2024-01-12,dengue fiebre,51.74,MX,dengue
2024-01-12,dengue fiebre,45.72,SLP,dengue
2024-01-12,dolor de huesos,53.16,MX,dengue
2024-01-12,dolor de huesos,58.62,SLP,dengue
2024-01-12,sarpullido,42.94,MX,dengue
2024-01-12,sarpullido,35.52,SLP,dengue
2024-01-12,dengue slp,30.41,MX,dengue
2024-01-12,dengue slp,24.95,SLP,dengue
2024-01-12,mosquito,38.28,MX,dengue
2024-01-12,mosquito,35.64,SLP,dengue
2024-01-13,tos,46.96,MX,hantavirus
2024-01-13,tos,42.07,SLP,hantavirus
2024-01-13,fiebre,45.91,MX,hantavirus
2024-01-13,fiebre,52.09,SLP,hantavirus
2024-01-13,dolor muscular,43.41,MX,hantavirus
2024-01-13,dolor muscular,42.65,SLP,hantavirus
2024-01-13,dificultad para respirar,27.85,MX,hantavirus
2024-01-13,dificultad para respirar,31.92,SLP,hantavirus
2024-01-13,sangrado,19.92,MX,hantavirus
2024-01-13,sangrado,31.7,SLP,hantavirus
2024-01-13,raton de campo,44.75,MX,hantavirus
2024-01-13,raton de campo,30.23,SLP,hantavirus
2024-01-13,hantavirus sintomas,44.04,MX,hantavirus
2024-01-13,hantavirus sintomas,48.61,SLP,hantavirus
2024-01-13,covid tos,78.19,MX,covid
2024-01-13,covid tos,79.33,SLP,covid
2024-01-13,covid fiebre,75.74,MX,covid
2024-01-13,covid fiebre,84.95,SLP,covid
2024-01-13,perdida de olfato,65.53,MX,covid
2024-01-13,perdida de olfato,73.85,SLP,covid
2024-01-13,covid mexico,68.34,MX,covid
2024-01-13,covid mexico,64.84,SLP,covid
2024-01-13,covid slp,59.4,MX,covid
2024-01-13,covid slp,57.77,SLP,covid
2024-01-13,dengue fiebre,54.63,MX,dengue
2024-01-13,dengue fiebre,52.14,SLP,dengue
2024-01-13,dolor de huesos,44.61,MX,dengue
2024-01-13,dolor de huesos,51.37,SLP,dengue
2024-01-13,sarpullido,46.18,MX,dengue
2024-01-13,sarpullido,50.46,SLP,dengue
2024-01-13,dengue slp,38.28,MX,dengue
2024-01-13,dengue slp,37.65,SLP,dengue
2024-01-13,mosquito,32.12,MX,dengue
2024-01-13,mosquito,33.77,SLP,dengue
2024-01-14,tos,47.53,MX,hantavirus
2024-01-14,tos,44.83,SLP,hantavirus
2024-01-14,fiebre,50.67,MX,hantavirus
2024-01-14,fiebre,47.95,SLP,hantavirus
2024-01-14,dolor muscular,43.31,MX,hantavirus
2024-01-14,dolor muscular,46.99,SLP,hantavirus
2024-01-14,dificultad para respirar,27.61,MX,hantavirus
2024-01-14,dificultad para respirar,37.9,SLP,hantavirus
2024-01-14,sangrado,27.26,MX,hantavirus
2024-01-14,sangrado,41.65,SLP,hantavirus
2024-01-14,raton de campo,45.81,MX,hantavirus
2024-01-14,raton de campo,37.13,SLP,hantavirus
2024-01-14,hantavirus sintomas,42.25,MX,hantavirus
2024-01-14,hantavirus sintomas,41.29,SLP,hantavirus
2024-01-14,covid tos,78.75,MX,covid
2024-01-14,covid tos,64.85,SLP,covid
2024-01-14,covid fiebre,80.37,MX,covid
2024-01-14,covid fiebre,81.51,SLP,covid
2024-01-14,perdida de olfato,78.1,MX,covid
2024-01-14,perdida de olfato,73.25,SLP,covid
2024-01-14,covid mexico,61.78,MX,covid
2024-01-14,covid mexico,67.96,SLP,covid
2024-01-14,covid slp,48.62,MX,covid
2024-01-14,covid slp,57.84,SLP,covid
2024-01-14,dengue fiebre,46.88,MX,dengue
2024-01-14,dengue fiebre,53.32,SLP,dengue
2024-01-14,dolor de huesos,50.63,MX,dengue
2024-01-14,dolor de huesos,42.79,SLP,dengue
2024-01-14,sarpullido,43.65,MX,dengue
2024-01-14,sarpullido,53.81,SLP,dengue
2024-01-14,dengue slp,36.31,MX,dengue
2024-01-14,dengue slp,33.56,SLP,dengue
2024-01-14,mosquito,37.2,MX,dengue
2024-01-14,mosquito,32.88,SLP,dengue
2024-01-15,tos,48.77,MX,hantavirus
2024-01-15,tos,41.1,SLP,hantavirus
2024-01-15,fiebre,44.99,MX,hantavirus
2024-01-15,fiebre,46.88,SLP,hantavirus
2024-01-15,dolor muscular,31.83,MX,hantavirus
2024-01-15,dolor muscular,42.24,SLP,hantavirus
2024-01-15,dificultad para respirar,31.78,MX,hantavirus
2024-01-15,dificultad para respirar,24.66,SLP,hantavirus
2024-01-15,sangrado,33.03,MX,hantavirus
2024-01-15,sangrado,34.59,SLP,hantavirus
2024-01-15,raton de campo,38.94,MX,hantavirus
2024-01-15,raton de campo,36.18,SLP,hantavirus
2024-01-15,hantavirus sintomas,50.12,MX,hantavirus
2024-01-15,hantavirus sintomas,50.57,SLP,hantavirus
2024-01-15,covid tos,79.03,MX,covid
2024-01-15,covid tos,75.29,SLP,covid
2024-01-15,covid fiebre,79.57,MX,covid
2024-01-15,covid fiebre,76.13,SLP,covid
2024-01-15,perdida de olfato,68.72,MX,covid
2024-01-15,perdida de olfato,76.38,SLP,covid
2024-01-15,covid mexico,67.91,MX,covid
2024-01-15,covid mexico,53.89,SLP,covid
2024-01-15,covid slp,64.15,MX,covid
2024-01-15,covid slp,67.4,SLP,covid
2024-01-15,dengue fiebre,51.88,MX,dengue
2024-01-15,dengue fiebre,48.67,SLP,dengue
2024-01-15,dolor de huesos,57.47,MX,dengue
2024-01-15,dolor de huesos,54.7,SLP,dengue
2024-01-15,sarpullido,47.19,MX,dengue
2024-01-15,sarpullido,37.99,SLP,dengue
2024-01-15,dengue slp,33.45,MX,dengue
2024-01-15,dengue slp,32.34,SLP,dengue
2024-01-15,mosquito,26.8,MX,dengue
2024-01-15,mosquito,33.62,SLP,dengue
2024-01-16,tos,48.31,MX,hantavirus
2024-01-16,tos,42.24,SLP,hantavirus
2024-01-16,fiebre,51.2,MX,hantavirus
2024-01-16,fiebre,48.93,SLP,hantavirus
2024-01-16,dolor muscular,43.94,MX,hantavirus
2024-01-16,dolor muscular,41.44,SLP,hantavirus
2024-01-16,dificultad para respirar,44.21,MX,hantavirus
2024-01-16,dificultad para respirar,35.91,SLP,hantavirus
2024-01-16,sangrado,25.73,MX,hantavirus
2024-01-16,sangrado,31.73,SLP,hantavirus
2024-01-16,raton de campo,33.91,MX,hantavirus
2024-01-16,raton de campo,36.66,SLP,hantavirus
2024-01-16,hantavirus sintomas,42.72,MX,hantavirus
2024-01-16,hantavirus sintomas,57.8,SLP,hantavirus
2024-01-16,covid tos,75.74,MX,covid
2024-01-16,covid tos,79.89,SLP,covid
2024-01-16,covid fiebre,71.61,MX,covid
2024-01-16,covid fiebre,85.5,SLP,covid
2024-01-16,perdida de olfato,68.08,MX,covid
2024-01-16,perdida de olfato,75.02,SLP,covid
2024-01-16,covid mexico,56.08,MX,covid
2024-01-16,covid mexico,65.78,SLP,covid
2024-01-16,covid slp,63.77,MX,covid
2024-01-16,covid slp,62.33,SLP,covid
2024-01-16,dengue fiebre,54.18,MX,dengue
2024-01-16,dengue fiebre,54.57,SLP,dengue
2024-01-16,dolor de huesos,51.16,MX,dengue
2024-01-16,dolor de huesos,49.8,SLP,dengue
2024-01-16,sarpullido,40.45,MX,dengue
2024-01-16,sarpullido,38.69,SLP,dengue
2024-01-16,dengue slp,30.41,MX,dengue
2024-01-16,dengue slp,27.09,SLP,dengue
2024-01-16,mosquito,31.44,MX,dengue
2024-01-16,mosquito,23.4,SLP,dengue
2024-01-17,tos,50.42,MX,hantavirus
2024-01-17,tos,55.48,SLP,hantavirus
2024-01-17,fiebre,53.84,MX,hantavirus
2024-01-17,fiebre,54.74,SLP,hantavirus
2024-01-17,dolor muscular,43.85,MX,hantavirus
